Dis No,Year,Seq,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Entry Criteria,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,Aid Contribution,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),Insured Damages ('000 US$),Total Damages ('000 US$),CPI
2015-0118-BGD,2015,0118,Natural,Meteorological,Storm,Convective storm,Lightning/Thunderstorms,,Kill,Bangladesh,BGD,Southern Asia,Asia,"Bogra, Rajshahi, Naogaon, Sirajganj, Pabna districts (Rajshahi province), Brahamanbaria district (Chittagong province), Dhaka districts (Dhaka province)",,Hail,Rain,,,,,,Kph,,,,,2015,4,1,2015,4,7,53,200,20000,,20200,,,4000,92.70882199
2015-0054-AFG,2015,0054,Natural,Hydrological,Landslide,Avalanche,,,Kill,Afghanistan,AFG,Southern Asia,Asia,"Laghman, Nangarhar, Panjsher, Badakhshan, Bamyan provinces",Heavy snow,"Slide (land, mud, snow, rock)",Flood,,,,,,,,,,,2015,2,15,2015,2,27,254,,26425,6560,32985,,,3000,92.70882199
2015-0148-AUS,2015,0148,Natural,Meteorological,Storm,Convective storm,Severe storm,,Affected,Australia,AUS,Australia and New Zealand,Oceania,"Dungog, Hunters Hill, Sydney districts (New South Wales province)",,Flood,Surge,,,,,135,Kph,,,,,2015,4,20,2015,4,28,7,,1000,,1000,,730000,1300000,92.70882199
2015-0479-BHS,2015,0479,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane Joaquin,Affected,Bahamas (the),BHS,Caribbean,Americas,"Exuma, Long Island, Mayaguana, Rum Cay, San Salvador, Samana Cay, Crooked Isl., Ragged Islands (Administrative unit not available)",,Flood,Surge,,,,,,Kph,,,,,2015,10,1,2015,10,4,33,,6710,,6710,,61000,90000,92.70882199
2015-0090-AGO,2015,0090,Natural,Hydrological,Flood,,,,Affected,Angola,AGO,Middle Africa,Africa,Luanda province,Torrential rain,"Slide (land, mud, snow, rock)",,,,,,102553,Km2,-8.81664,13.68,,,2015,3,9,2015,3,23,1,,2000,,2000,,,,92.70882199
2015-0023-ALB,2015,0023,Natural,Hydrological,Flood,Riverine flood,,,Affected,Albania,ALB,Southern Europe,Europe,"Berat, Kucove, Skrapar provinces (Berat prefecture), Vlore, Delvine, Sarande provinces (Vlore prefecture), Fier, Lushnje, Mallakaster provinces (Fier prefecture) Elbasan, Gramsh, Librazhd, Peqin provinces (Elbasan prefecture) , Gjirokaster, Permet, Tepelene provinces (Gjirokaster prefecture)",Heavy rains,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,"Vjosa, Devoll, Osum, Serman rivers",2015,2,1,2015,2,2,,,42000,,42000,,,,92.70882199
2015-0253-BGD,2015,0253,Natural,Hydrological,Flood,Riverine flood,,,Kill,Bangladesh,BGD,Southern Asia,Asia,"Bandarban, Chittagong, Cox's Bazar districts (Chittagong province)",Excessive rains,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,,2015,6,23,2015,6,30,20,20651,1381250,,1401901,,,40000,92.70882199
2015-0293-BGD,2015,0293,Natural,Hydrological,Flood,Riverine flood,,,Waiting,Bangladesh,BGD,Southern Asia,Asia,"Barisal district (Barisal province), Chittagong district (Chittagong province), Khulna district (Khulna province)",Heavy rains,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,,2015,7,25,2015,7,27,11,,10000,,10000,,,,92.70882199
2015-0346-BFA,2015,0346,Natural,Hydrological,Flood,Riverine flood,,,Affected,Burkina Faso,BFA,Western Africa,Africa,"Ouagadougou, Kilwin areas (Kadiogo district, Centre province), Bobo-Dioulasso city (Houet district, Hauts-bassins province), Kenedougou, Tuy districts (Hauts-bassins province), Cascades province",Heavy rains,Storm,,,,,,,Km2,,,,,2015,8,4,2015,8,7,8,54,28871,,28925,,,31000,92.70882199
2015-0151-AFG,2015,0151,Natural,Hydrological,Landslide,Landslide,,,Kill,Afghanistan,AFG,Southern Asia,Asia,"Geriy Bala village (Khwahan district, Badakhshan province), Abi Barik village (Argo district, Badakhshan province), Jawzjan, Faryab, Sar-e-Pul, Baghlan, Balkh provinces",Heavy rains and snow melt,Flood,,,,,,,,,,,,2015,4,27,2015,5,2,52,,,500,500,,,,92.70882199
